alef	:	76419	:	16.10 
be	:	20281	:	4.27 
pe	:	2793	:	0.59 
te	:	22772	:	4.80 
se	:	671	:	0.14 
jim	:	5711	:	1.20 
che	:	1228	:	0.26 
he	:	4541	:	0.96 
khe	:	5693	:	1.20 
dal	:	32570	:	6.86 
zal	:	856	:	0.18 
re	:	42485	:	8.95 
ze	:	10511	:	2.21 
zhe	:	438	:	0.09 
sin	:	15236	:	3.21 
shin	:	13007	:	2.74 
sad	:	3089	:	0.65 
zad	:	1473	:	0.31 
ta	:	2413	:	0.51 
za	:	1263	:	0.27 
ain	:	6288	:	1.32 
ghain	:	818	:	0.17 
fe	:	6907	:	1.45 
ghaf	:	5191	:	1.09 
kaf	:	11529	:	2.43 
ge	:	6812	:	1.43 
lam	:	12232	:	2.58 
mim	:	26911	:	5.67 
non	:	33148	:	6.98 
vav	:	26354	:	5.55 
he_2cheshm	:	30063	:	6.33 
ye	:	45088	:	9.50 
